Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5
284.0,15.0,141.0,179.0,5.5,842.0,801.0,56,44.52
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.45
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28,32.76
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28,15.53
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28,18.03
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56,51.26
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,55.94
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
