"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary"
"1",0.38,0.53,2,157,3,0,1,0,"sales","low"
"3",0.11,0.88,7,272,4,0,1,0,"sales","medium"
"6",0.41,0.5,2,153,3,0,1,0,"sales","low"
"7",0.1,0.77,6,247,4,0,1,0,"sales","low"
"9",0.89,1,5,224,5,0,1,0,"sales","low"
"10",0.42,0.53,2,142,3,0,1,0,"sales","low"
"12",0.11,0.81,6,305,4,0,1,0,"sales","low"
"14",0.41,0.55,2,148,3,0,1,0,"sales","low"
"15",0.36,0.56,2,137,3,0,1,0,"sales","low"
"17",0.45,0.47,2,160,3,0,1,0,"sales","low"
"18",0.78,0.99,4,255,6,0,1,0,"sales","low"
"19",0.45,0.51,2,160,3,1,1,1,"sales","low"
"27",0.82,0.87,4,239,5,0,1,0,"sales","low"
"28",0.4,0.49,2,135,3,0,1,0,"sales","low"
"29",0.41,0.46,2,128,3,0,1,0,"accounting","low"
"30",0.38,0.5,2,132,3,0,1,0,"accounting","low"
"35",0.84,0.87,4,246,6,0,1,0,"hr","low"
"36",0.1,0.94,6,255,4,0,1,0,"technical","low"
"38",0.45,0.5,2,126,3,0,1,0,"technical","low"
"39",0.11,0.89,6,306,4,0,1,0,"technical","low"
"40",0.41,0.54,2,152,3,0,1,0,"technical","low"
"41",0.87,0.88,5,269,5,0,1,0,"technical","low"
"42",0.45,0.48,2,158,3,0,1,0,"technical","low"
"43",0.4,0.46,2,127,3,0,1,0,"technical","low"
"44",0.1,0.8,7,281,4,0,1,0,"technical","low"
"45",0.09,0.89,6,276,4,0,1,0,"technical","low"
"46",0.84,0.74,3,182,4,0,1,0,"technical","low"
"47",0.4,0.55,2,147,3,0,1,0,"support","low"
"48",0.57,0.7,3,273,6,0,1,0,"support","low"
"49",0.4,0.54,2,148,3,0,1,0,"support","low"
"51",0.13,0.78,6,152,2,0,1,0,"support","low"
"52",0.44,0.55,2,135,3,0,1,0,"support","low"
"54",0.39,0.54,2,132,3,0,1,0,"support","low"
"55",0.1,0.92,7,307,4,0,1,0,"support","low"
"56",0.37,0.46,2,140,3,0,1,0,"support","low"
"57",0.11,0.94,7,255,4,0,1,0,"support","low"
"60",0.85,1,4,225,5,0,1,0,"technical","low"
"62",0.11,0.93,7,308,4,0,1,0,"IT","medium"
"63",0.1,0.95,6,244,5,0,1,0,"IT","medium"
"64",0.36,0.56,2,132,3,0,1,0,"IT","medium"
"66",0.81,0.7,6,161,4,0,1,0,"IT","medium"
"70",0.43,0.5,2,135,3,0,1,0,"product_mng","medium"
"74",0.09,0.87,7,295,4,0,1,0,"product_mng","low"
"75",0.11,0.97,6,277,4,0,1,0,"product_mng","medium"
"76",0.11,0.79,7,306,4,0,1,0,"product_mng","medium"
"77",0.1,0.83,6,295,4,0,1,0,"product_mng","medium"
"79",0.43,0.56,2,157,3,0,1,0,"sales","low"
"80",0.39,0.56,2,142,3,0,1,0,"accounting","low"
"81",0.45,0.54,2,140,3,0,1,0,"support","low"
"83",0.79,0.59,4,139,3,0,1,1,"management","low"
"85",0.11,0.77,6,291,4,0,1,0,"marketing","low"
"86",0.11,0.87,6,305,4,0,1,0,"marketing","low"
"90",0.1,0.79,6,291,4,0,1,0,"sales","low"
"91",0.4,0.5,2,130,3,0,1,0,"sales","low"
"93",0.42,0.48,2,143,3,0,1,0,"sales","low"
"95",0.09,0.83,6,255,4,0,1,0,"sales","low"
"96",0.37,0.51,2,155,3,0,1,0,"sales","low"
"98",0.1,0.84,6,279,4,0,1,0,"sales","low"
"99",0.11,0.97,6,284,4,0,1,0,"sales","low"
"100",0.9,1,5,221,6,0,1,0,"sales","medium"
"101",0.38,0.52,2,154,3,0,1,0,"sales","medium"
"102",0.36,0.52,2,147,3,0,1,0,"sales","medium"
"103",0.42,0.46,2,150,3,0,1,0,"sales","medium"
"105",0.43,0.52,2,158,3,0,1,0,"sales","medium"
"109",0.71,0.87,3,177,4,0,1,0,"hr","medium"
"110",0.4,0.49,2,155,3,0,1,0,"hr","medium"
"112",0.09,0.85,6,289,4,0,1,0,"hr","high"
"113",0.43,0.52,2,160,3,0,1,0,"technical","low"
"116",0.37,0.48,2,137,3,0,1,0,"technical","medium"
"117",0.86,0.68,5,263,2,0,1,0,"technical","medium"
"119",0.37,0.57,2,133,3,0,1,0,"technical","low"
"120",0.4,0.46,2,132,3,0,1,0,"technical","low"
"122",0.4,0.46,2,135,3,0,1,0,"technical","low"
"123",0.75,1,4,216,6,0,1,0,"technical","low"
"124",0.11,0.84,6,300,5,1,1,0,"support","low"
"125",0.46,0.49,2,138,3,0,1,0,"support","low"
"127",0.38,0.49,2,132,3,0,1,0,"support","low"
"128",0.7,0.89,3,183,5,0,1,0,"support","low"
