,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
1,0.38,0.53,2,157,3,0,1,0,8,2
3,0.11,0.88,7,272,4,0,1,0,8,3
6,0.41,0.5,2,153,3,0,1,0,8,2
7,0.1,0.77,6,247,4,0,1,0,8,2
9,0.89,1,5,224,5,0,1,0,8,2
10,0.42,0.53,2,142,3,0,1,0,8,2
12,0.11,0.81,6,305,4,0,1,0,8,2
14,0.41,0.55,2,148,3,0,1,0,8,2
15,0.36,0.56,2,137,3,0,1,0,8,2
17,0.45,0.47,2,160,3,0,1,0,8,2
18,0.78,0.99,4,255,6,0,1,0,8,2
19,0.45,0.51,2,160,3,1,1,1,8,2
27,0.82,0.87,4,239,5,0,1,0,8,2
28,0.4,0.49,2,135,3,0,1,0,8,2
29,0.41,0.46,2,128,3,0,1,0,1,2
30,0.38,0.5,2,132,3,0,1,0,1,2
35,0.84,0.87,4,246,6,0,1,0,2,2
36,0.1,0.94,6,255,4,0,1,0,10,2
38,0.45,0.5,2,126,3,0,1,0,10,2
39,0.11,0.89,6,306,4,0,1,0,10,2
40,0.41,0.54,2,152,3,0,1,0,10,2
41,0.87,0.88,5,269,5,0,1,0,10,2
42,0.45,0.48,2,158,3,0,1,0,10,2
43,0.4,0.46,2,127,3,0,1,0,10,2
44,0.1,0.8,7,281,4,0,1,0,10,2
45,0.09,0.89,6,276,4,0,1,0,10,2
46,0.84,0.74,3,182,4,0,1,0,10,2
47,0.4,0.55,2,147,3,0,1,0,9,2
48,0.57,0.7,3,273,6,0,1,0,9,2
49,0.4,0.54,2,148,3,0,1,0,9,2
51,0.13,0.78,6,152,2,0,1,0,9,2
52,0.44,0.55,2,135,3,0,1,0,9,2
54,0.39,0.54,2,132,3,0,1,0,9,2
55,0.1,0.92,7,307,4,0,1,0,9,2
56,0.37,0.46,2,140,3,0,1,0,9,2
57,0.11,0.94,7,255,4,0,1,0,9,2
60,0.85,1,4,225,5,0,1,0,10,2
62,0.11,0.93,7,308,4,0,1,0,3,3
63,0.1,0.95,6,244,5,0,1,0,3,3
64,0.36,0.56,2,132,3,0,1,0,3,3
66,0.81,0.7,6,161,4,0,1,0,3,3
70,0.43,0.5,2,135,3,0,1,0,6,3
74,0.09,0.87,7,295,4,0,1,0,6,2
75,0.11,0.97,6,277,4,0,1,0,6,3
76,0.11,0.79,7,306,4,0,1,0,6,3
77,0.1,0.83,6,295,4,0,1,0,6,3
79,0.43,0.56,2,157,3,0,1,0,8,2
80,0.39,0.56,2,142,3,0,1,0,1,2
81,0.45,0.54,2,140,3,0,1,0,9,2
83,0.79,0.59,4,139,3,0,1,1,4,2
85,0.11,0.77,6,291,4,0,1,0,5,2
86,0.11,0.87,6,305,4,0,1,0,5,2
90,0.1,0.79,6,291,4,0,1,0,8,2
91,0.4,0.5,2,130,3,0,1,0,8,2
93,0.42,0.48,2,143,3,0,1,0,8,2
95,0.09,0.83,6,255,4,0,1,0,8,2
96,0.37,0.51,2,155,3,0,1,0,8,2
98,0.1,0.84,6,279,4,0,1,0,8,2
99,0.11,0.97,6,284,4,0,1,0,8,2
100,0.9,1,5,221,6,0,1,0,8,3
101,0.38,0.52,2,154,3,0,1,0,8,3
102,0.36,0.52,2,147,3,0,1,0,8,3
103,0.42,0.46,2,150,3,0,1,0,8,3
105,0.43,0.52,2,158,3,0,1,0,8,3
109,0.71,0.87,3,177,4,0,1,0,2,3
110,0.4,0.49,2,155,3,0,1,0,2,3
112,0.09,0.85,6,289,4,0,1,0,2,1
113,0.43,0.52,2,160,3,0,1,0,10,2
116,0.37,0.48,2,137,3,0,1,0,10,3
117,0.86,0.68,5,263,2,0,1,0,10,3
119,0.37,0.57,2,133,3,0,1,0,10,2
120,0.4,0.46,2,132,3,0,1,0,10,2
122,0.4,0.46,2,135,3,0,1,0,10,2
123,0.75,1,4,216,6,0,1,0,10,2
124,0.11,0.84,6,300,5,1,1,0,9,2
125,0.46,0.49,2,138,3,0,1,0,9,2
127,0.38,0.49,2,132,3,0,1,0,9,2
128,0.7,0.89,3,183,5,0,1,0,9,2
129,0.09,0.82,6,250,4,0,1,0,9,2
135,0.36,0.5,2,132,3,0,1,0,10,2
140,0.73,0.87,5,257,5,0,1,0,3,2
141,0.09,0.96,6,245,4,0,1,0,3,2
142,0.45,0.53,2,155,3,0,1,0,3,2
143,0.11,0.8,6,256,4,0,1,0,3,2
144,0.37,0.47,2,152,3,0,1,0,6,2
146,0.41,0.46,2,151,3,0,1,0,6,2
147,0.76,0.92,4,239,5,0,1,0,6,2
148,0.11,0.87,6,306,4,0,1,0,3,2
149,0.84,0.88,4,263,5,1,1,0,5,2
152,0.45,0.56,2,154,3,0,1,0,5,2
153,0.37,0.52,2,143,3,0,1,0,5,2
154,0.4,0.52,2,155,3,0,1,0,5,2
155,0.39,0.48,2,160,3,0,1,0,8,2
156,0.11,0.8,6,304,4,0,1,0,1,2
157,0.83,1,5,240,5,0,1,0,9,2
158,0.11,0.92,6,305,4,0,1,0,10,2
159,0.39,0.5,2,136,3,0,1,0,4,2
160,0.45,0.45,2,132,3,0,1,0,5,2
161,0.1,0.95,7,301,4,0,1,0,5,2
162,0.9,0.98,5,243,6,0,1,0,5,2
164,0.79,0.89,5,239,5,0,1,0,8,2
165,0.9,0.99,5,260,5,0,1,0,8,2
166,0.11,0.84,7,296,4,0,1,0,8,2
168,0.31,0.54,5,132,5,0,1,0,8,2
169,0.32,0.5,2,135,5,0,1,0,8,2
170,0.45,0.57,2,158,3,0,1,0,8,2
172,0.41,0.46,2,160,3,0,1,1,8,2
177,0.41,0.48,2,148,3,0,1,0,8,2
178,0.38,0.5,2,140,3,0,1,0,8,3
180,0.11,0.85,6,308,5,0,1,0,8,3
182,0.1,0.84,6,261,4,0,1,0,1,3
184,0.11,0.8,6,285,4,0,1,0,1,3
185,0.36,0.55,2,141,3,0,1,0,2,3
186,0.4,0.46,2,127,3,0,1,0,2,3
187,0.09,0.85,6,297,4,0,1,0,2,3
188,0.4,0.46,2,143,3,0,1,0,2,3
191,0.09,0.8,7,283,5,0,1,0,10,2
192,0.92,0.87,4,226,6,1,1,0,10,3
196,0.09,0.8,6,304,4,0,1,0,10,2
197,0.27,0.54,7,278,3,0,1,0,10,2
199,0.1,0.89,7,285,4,0,1,0,10,2
200,0.77,0.94,5,226,6,0,1,0,9,2
201,0.9,0.82,5,259,5,0,1,0,9,2
204,0.1,0.93,6,256,4,0,1,0,9,2
205,0.87,0.9,5,254,6,0,1,0,9,2
