,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
2,0.8,0.86,5,262,6,0,1,0,8,1
4,0.72,0.87,5,223,5,0,1,0,8,2
5,0.37,0.52,2,159,3,0,1,0,8,2
8,0.92,0.85,5,259,5,0,1,0,8,2
11,0.45,0.54,2,135,3,0,1,0,8,2
13,0.84,0.92,4,234,5,0,1,0,8,2
16,0.38,0.54,2,143,3,0,1,0,8,2
20,0.76,0.89,5,262,5,0,1,0,8,2
21,0.11,0.83,6,282,4,0,1,0,8,2
22,0.38,0.55,2,147,3,0,1,0,8,2
23,0.09,0.95,6,304,4,0,1,0,8,2
24,0.46,0.57,2,139,3,0,1,0,8,2
25,0.4,0.53,2,158,3,0,1,0,8,2
26,0.89,0.92,5,242,5,0,1,0,8,2
31,0.09,0.62,6,294,4,0,1,0,1,2
32,0.45,0.57,2,134,3,0,1,0,2,2
33,0.4,0.51,2,145,3,0,1,0,2,2
34,0.45,0.55,2,140,3,0,1,0,2,2
37,0.38,0.46,2,137,3,0,1,0,10,2
50,0.43,0.47,2,147,3,0,1,0,9,2
53,0.38,0.55,2,134,3,0,1,0,9,2
58,0.1,0.81,6,309,4,0,1,0,10,2
59,0.38,0.54,2,128,3,0,1,0,10,2
61,0.85,0.91,5,226,5,0,1,0,4,3
65,0.11,0.94,6,286,4,0,1,0,3,3
67,0.43,0.54,2,153,3,0,1,0,6,3
68,0.9,0.98,4,264,6,0,1,0,6,3
69,0.76,0.86,5,223,5,1,1,0,6,3
71,0.74,0.99,2,277,3,0,1,0,3,3
72,0.09,0.77,5,275,4,0,1,0,6,3
73,0.45,0.49,2,149,3,0,1,0,6,4
78,0.4,0.54,2,137,3,0,1,0,5,5
82,0.38,0.49,2,151,3,0,1,0,10,6
84,0.84,0.85,4,249,6,0,1,0,5,6
87,0.17,0.84,5,232,3,0,1,0,8,6
88,0.44,0.45,2,132,3,0,1,0,8,6
89,0.37,0.57,2,130,3,0,1,0,8,6
92,0.89,1,5,246,5,0,1,0,8,6
94,0.46,0.55,2,129,3,0,1,0,8,6
97,0.1,0.77,6,265,4,0,1,0,8,6
104,0.09,0.94,7,267,4,0,1,0,8,7
106,0.24,0.46,7,224,5,0,1,0,1,7
107,0.91,1,4,257,5,0,1,0,1,7
108,0.44,0.5,2,148,3,0,1,0,1,7
111,0.43,0.47,2,144,3,0,1,0,2,7
114,0.9,0.96,4,258,5,0,1,0,10,7
115,0.84,1,5,234,5,0,1,0,10,7
118,0.11,0.84,6,251,4,0,1,0,10,8
121,0.14,0.62,4,158,4,1,1,0,10,8
126,0.11,0.92,6,260,4,0,1,0,9,8
130,0.37,0.45,2,151,3,0,1,0,9,8
131,0.1,0.83,6,292,4,0,1,0,9,8
132,0.38,0.57,2,140,3,0,1,0,9,8
133,0.9,1,5,221,5,0,1,0,9,8
134,0.44,0.51,2,138,3,0,1,0,9,8
136,0.31,0.84,7,133,5,0,1,0,10,8
137,0.1,0.84,6,283,4,1,1,0,10,8
138,0.42,0.48,2,129,3,0,1,0,4,8
139,0.74,1,4,249,5,0,1,0,3,8
145,0.84,0.99,4,267,5,0,1,0,6,8
150,0.39,0.5,2,147,3,0,1,0,5,8
151,0.11,0.91,6,278,4,0,1,0,5,8
163,0.45,0.51,2,147,3,0,1,0,8,8
167,0.43,0.55,2,129,3,0,1,0,8,8
171,0.81,0.99,4,259,5,0,1,0,8,8
173,0.11,0.78,7,278,4,0,1,0,8,8
174,0.1,0.88,6,284,4,0,1,0,8,8
175,0.7,0.53,2,274,4,0,1,0,8,8
176,0.54,0.74,4,164,2,0,1,0,8,8
179,0.37,0.51,2,127,3,0,1,0,8,9
181,0.4,0.47,2,146,3,0,1,0,8,9
183,0.89,0.99,5,257,5,0,1,0,1,9
189,0.37,0.55,2,152,3,0,1,0,10,9
190,0.44,0.51,2,156,3,0,1,0,10,10
193,0.74,0.91,4,232,5,0,1,0,10,11
194,0.09,0.82,6,249,4,0,1,0,10,11
195,0.89,0.95,4,275,5,0,1,0,10,11
198,0.1,0.91,6,287,4,0,1,0,10,12
202,0.39,0.5,2,135,3,0,1,0,9,12
203,0.76,1,5,219,5,0,1,0,9,12
206,0.38,0.5,2,153,3,0,1,0,9,12
214,0.45,0.46,2,153,3,0,1,0,4,12
216,0.36,0.51,2,155,3,0,1,0,3,12
219,0.43,0.53,2,131,3,0,1,0,3,12
220,0.89,0.87,5,225,5,0,1,0,6,12
222,0.37,0.5,2,135,3,0,1,0,6,12
223,0.37,0.51,2,153,3,0,1,0,6,12
224,0.87,0.9,5,252,5,0,1,0,3,12
229,0.85,0.95,5,236,5,0,1,0,2,12
230,0.78,0.98,5,239,6,0,1,0,5,12
231,0.42,0.47,2,159,3,0,1,0,5,12
238,0.43,0.45,2,135,3,0,1,0,5,12
240,0.1,0.97,7,254,4,0,1,0,8,12
242,0.37,0.46,2,156,3,0,1,0,8,12
244,0.4,0.5,2,128,3,0,1,0,8,12
246,0.45,0.46,2,155,3,0,1,0,8,12
248,0.46,0.49,2,148,3,0,1,0,8,12
249,0.87,0.91,4,228,5,0,1,0,8,12
250,0.11,0.84,6,298,4,0,1,0,8,12
256,0.44,0.45,2,156,3,0,1,0,8,13
260,0.11,0.84,6,287,4,0,1,0,1,13
261,0.46,0.46,2,154,3,0,1,0,1,13
262,0.82,0.97,5,263,5,0,1,0,2,13
263,0.44,0.56,2,131,3,0,1,0,2,13
264,0.11,0.78,6,260,4,0,1,0,2,13
271,0.44,0.51,2,127,3,0,1,0,10,13
275,0.11,0.9,6,254,4,0,1,0,10,14
276,0.81,0.95,5,238,6,0,1,0,10,14
277,0.1,0.97,6,267,4,1,1,0,9,14
280,0.82,0.81,4,233,4,1,1,0,9,14
281,0.1,0.98,6,268,4,0,1,0,9,14
290,0.36,0.48,2,137,3,0,1,0,10,14
294,0.11,0.91,6,308,4,1,1,0,3,14
295,0.1,0.93,6,253,4,0,1,0,3,15
296,0.38,0.51,2,146,3,0,1,0,3,15
297,0.39,0.55,2,156,3,0,1,0,6,15
300,0.74,0.84,5,249,5,0,1,0,6,15
301,0.45,0.55,2,151,3,0,1,0,3,15
303,0.1,0.77,7,250,5,0,1,0,7,15
304,0.37,0.55,2,127,3,0,1,0,7,15
305,0.89,0.87,5,255,5,0,1,0,7,15
313,0.4,0.54,2,139,3,0,1,0,5,16
316,0.73,0.86,4,245,6,0,1,0,8,16
317,0.43,0.47,2,135,3,0,1,0,8,16
320,0.4,0.46,2,130,3,0,1,0,8,16
321,0.41,0.54,2,153,3,1,1,0,8,16
324,0.11,0.91,7,287,4,0,1,0,8,16
327,0.37,0.52,2,157,3,0,1,0,8,16
330,0.44,0.48,2,148,3,0,1,0,8,16
331,0.38,0.57,2,140,3,0,1,0,8,16
333,0.09,0.98,6,271,4,0,1,0,8,16
334,0.45,0.52,2,145,3,0,1,0,8,17
337,0.77,0.87,5,266,5,0,1,0,1,17
338,0.44,0.51,2,140,3,0,1,0,2,17
339,0.39,0.5,2,142,3,0,1,0,2,17
340,0.1,0.91,6,246,4,0,1,0,2,17
347,0.81,1,4,253,5,0,1,0,10,18
350,0.4,0.46,2,149,3,0,1,0,10,19
352,0.48,0.93,3,219,6,0,1,0,10,20
355,0.33,0.88,6,219,5,0,1,0,9,20
356,0.41,0.57,2,136,3,0,1,0,9,20
357,0.41,0.55,2,154,3,0,1,0,9,20
360,0.09,0.91,6,275,4,0,1,0,9,20
363,0.41,0.54,2,145,3,0,1,0,9,20
366,0.91,0.87,4,235,5,0,1,0,10,20
373,0.39,0.48,2,141,3,0,1,0,6,21
376,0.73,0.99,5,262,5,0,1,0,6,21
377,0.56,0.71,4,296,2,0,1,0,3,21
380,0.77,0.93,4,231,5,0,1,0,2,21
382,0.38,0.46,2,145,3,0,1,0,2,21
384,0.38,0.51,2,159,3,0,1,0,8,21
386,0.75,0.9,5,256,5,0,1,0,9,22
391,0.78,1,4,253,5,0,1,0,5,22
393,0.84,1,4,261,5,0,1,0,8,22
394,0.11,0.93,6,282,4,0,1,0,8,22
400,0.1,0.87,6,250,4,0,1,0,8,22
401,0.91,1,5,251,6,0,1,0,8,22
403,0.74,1,5,275,5,0,1,0,8,22
407,0.73,0.99,5,241,5,0,1,0,8,22
410,0.82,0.98,4,233,5,0,1,0,8,22
412,0.84,0.99,4,262,6,0,1,0,1,23
417,0.82,1,4,229,6,0,1,0,2,23
422,0.1,0.94,6,287,4,0,1,0,10,23
425,0.45,0.46,2,130,3,0,1,0,10,24
426,0.42,0.51,2,136,3,0,1,0,10,25
430,0.41,0.52,2,127,3,1,1,0,9,26
431,0.89,0.65,5,195,6,0,1,0,9,26
434,0.87,0.84,4,264,6,0,1,0,9,26
436,0.41,0.47,2,135,3,0,1,0,9,26
443,0.77,1,5,229,5,0,1,0,4,26
445,0.39,0.54,2,127,3,0,1,0,3,26
446,0.09,0.94,6,283,5,0,1,0,3,26
447,0.44,0.46,2,143,3,0,1,0,3,26
450,0.81,0.92,5,239,5,0,1,0,6,26
456,0.44,0.53,2,127,3,0,1,0,7,27
457,0.86,0.93,5,223,5,0,1,0,7,27
458,0.77,1,4,255,5,0,1,0,7,27
461,0.43,0.49,2,135,3,0,1,0,1,27
468,0.09,0.95,6,292,4,0,1,0,8,27
470,0.41,0.52,2,159,3,0,1,0,8,28
472,0.44,0.53,2,149,3,0,1,0,8,28
474,0.42,0.56,2,149,3,0,1,0,8,28
475,0.87,1,5,242,5,0,1,0,8,28
477,0.11,0.87,5,271,4,0,1,0,8,28
480,0.11,0.96,7,277,5,0,1,0,8,28
482,0.1,0.79,6,274,4,0,1,0,8,28
484,0.42,0.54,2,143,3,1,1,0,8,28
485,0.38,0.52,2,145,3,0,1,0,8,28
488,0.19,1,4,192,4,0,1,0,1,28
490,0.76,0.88,4,206,4,0,1,0,2,29
491,0.53,0.56,4,281,6,0,1,0,2,29
494,0.1,0.94,6,309,4,0,1,0,10,29
496,0.82,0.99,4,263,6,0,1,0,10,29
499,0.44,0.48,2,143,3,0,1,0,10,29
500,0.89,0.95,2,181,5,0,1,0,10,29
509,0.38,0.55,2,158,3,0,1,0,9,30
513,0.09,0.96,6,259,4,0,1,0,9,30
515,0.83,0.96,5,275,5,0,1,0,9,30
518,0.09,0.86,7,309,4,0,1,0,10,30
520,0.39,0.51,2,129,3,0,1,0,3,30
526,0.41,0.56,2,150,3,0,1,0,6,30
527,0.41,0.45,2,144,3,1,1,0,6,30
529,0.09,0.8,6,301,5,0,1,0,3,31
531,0.4,0.56,2,137,3,0,1,0,1,31
532,0.37,0.54,2,131,3,1,1,0,2,31
534,0.43,0.51,2,136,3,0,1,0,2,31
536,0.37,0.56,2,156,3,0,1,0,8,31
538,0.45,0.45,2,154,3,1,1,0,9,31
541,0.45,0.54,2,129,3,0,1,0,5,32
543,0.77,0.91,5,236,5,0,1,0,5,33
545,0.43,0.49,2,135,3,0,1,0,8,33
546,0.78,1,5,236,5,0,1,0,8,33
548,0.37,0.5,2,141,3,0,1,0,8,34
549,0.85,0.82,4,270,5,0,1,0,8,34
554,0.79,1,5,257,6,0,1,0,8,34
557,0.46,0.48,2,141,3,1,1,0,8,34
562,0.37,0.53,2,131,3,0,1,0,8,34
563,0.4,0.57,2,160,3,0,1,0,1,34
565,0.41,0.53,2,157,3,0,1,0,1,34
566,0.79,0.58,3,294,4,0,1,0,2,34
568,0.1,0.97,6,282,4,0,1,0,2,35
570,0.25,0.46,4,214,4,0,1,0,10,35
572,0.73,1,4,252,5,0,1,0,10,35
575,0.37,0.49,2,151,3,0,1,0,10,35
576,0.39,0.49,2,129,3,0,1,0,10,35
581,0.44,0.51,2,145,3,0,1,0,9,36
582,0.81,0.88,5,242,5,0,1,0,9,37
583,0.74,0.87,5,242,5,0,1,0,9,37
585,0.41,0.56,2,154,3,0,1,1,9,37
588,0.8,0.83,2,211,3,0,1,0,9,38
589,0.87,0.9,5,258,5,0,1,0,9,38
593,0.1,0.8,6,264,4,0,1,0,10,38
596,0.09,0.87,5,263,4,0,1,0,3,38
599,0.37,0.46,2,157,3,0,1,0,3,38
602,0.84,0.94,5,222,6,0,1,0,6,38
606,0.86,0.92,5,252,5,0,1,0,7,38
608,0.11,0.88,5,250,4,0,1,0,7,39
611,0.09,0.95,7,256,4,0,1,0,5,39
614,0.81,0.97,5,243,5,0,1,0,9,39
616,0.1,0.88,7,267,4,0,1,0,4,39
617,0.39,0.49,2,144,3,0,1,0,5,39
618,0.83,0.95,4,251,5,0,1,0,5,39
619,0.45,0.57,2,148,3,0,1,0,5,40
621,0.8,0.75,3,268,2,0,1,0,8,41
622,0.1,0.86,6,247,4,0,1,0,8,41
623,0.1,0.55,2,247,4,0,1,0,8,41
628,0.41,0.46,2,156,3,1,1,0,8,42
631,0.1,0.9,7,286,4,0,1,0,8,42
632,0.34,0.67,4,141,2,0,1,0,8,42
634,0.38,0.56,2,154,3,0,1,0,8,42
637,0.44,0.53,2,140,3,0,1,0,8,42
638,0.43,0.52,2,147,3,0,1,0,8,42
639,0.84,0.83,4,227,5,0,1,0,1,42
642,0.74,0.97,4,228,5,0,1,0,2,42
643,0.73,0.97,5,235,5,0,1,0,2,42
646,0.4,0.54,2,141,3,0,1,0,10,43
647,0.51,0.83,5,249,4,0,1,0,10,43
650,0.46,0.5,2,156,3,0,1,0,10,43
651,0.39,0.45,2,134,3,0,1,0,10,43
652,0.09,0.88,6,269,4,0,1,0,10,43
655,0.1,0.89,7,308,4,0,1,0,10,43
656,0.77,1,4,232,5,0,1,0,10,43
657,0.79,0.86,5,235,5,0,1,0,9,43
661,0.44,0.5,2,130,3,0,1,0,9,43
662,0.39,0.46,2,136,3,0,1,0,9,43
664,0.1,0.79,6,256,5,0,1,0,9,44
667,0.46,0.62,6,213,3,0,1,0,9,44
669,0.1,0.92,6,258,4,0,1,0,10,44
677,0.11,0.82,6,270,4,0,1,0,6,44
681,0.1,0.83,6,269,4,0,1,0,3,44
682,0.4,0.49,2,128,3,0,1,0,8,44
683,0.11,0.87,7,278,4,0,1,0,8,44
684,0.86,0.98,3,158,5,0,1,0,8,44
685,0.42,1,3,202,3,0,1,0,8,45
692,0.42,0.75,3,218,4,0,1,0,4,45
701,0.46,0.54,2,143,3,0,1,0,8,45
704,0.44,0.53,2,159,3,0,1,0,8,46
706,0.45,0.54,2,152,3,0,1,0,8,46
711,0.64,0.9,6,252,2,0,1,0,8,46
713,0.84,0.98,5,270,5,0,1,0,8,46
714,0.73,0.92,5,232,5,0,1,0,8,46
719,0.91,1,5,244,6,0,1,0,2,46
722,0.31,0.87,4,184,3,0,1,0,10,46
723,0.44,0.47,2,130,3,0,1,0,10,46
724,0.38,0.54,2,135,3,0,1,0,10,47
725,0.45,0.56,2,146,3,0,1,0,10,47
726,0.43,0.46,2,149,3,0,1,0,10,47
727,0.45,0.46,2,153,3,1,1,0,10,47
728,0.43,0.57,2,160,3,0,1,0,10,47
729,0.43,0.49,2,160,3,0,1,0,10,47
732,0.79,0.94,4,232,5,0,1,0,10,47
733,0.85,0.58,3,226,2,0,1,0,9,47
734,0.38,0.45,2,129,3,0,1,0,9,47
737,0.81,0.91,4,229,5,0,1,0,9,48
738,0.42,0.56,2,143,3,0,1,0,9,49
741,0.1,0.89,7,291,4,0,1,0,9,49
747,0.36,0.5,2,132,3,0,1,0,4,50
749,0.4,0.5,2,127,3,0,1,0,3,50
750,0.86,0.84,4,246,6,0,1,0,3,50
758,0.38,0.55,2,151,3,0,1,0,8,50
769,0.1,0.84,6,293,5,0,1,0,5,51
770,0.42,0.46,2,141,3,0,1,0,5,51
771,0.1,0.83,6,300,4,0,1,0,5,51
772,0.1,0.86,6,309,4,0,1,0,8,51
773,0.31,0.77,4,149,3,0,1,0,8,51
774,0.42,0.54,2,159,3,0,1,0,8,51
779,0.1,0.92,7,269,4,0,1,0,8,51
780,0.11,0.9,7,247,4,0,1,0,8,51
782,0.91,0.96,4,232,5,0,1,0,8,52
784,0.36,0.46,2,132,3,0,1,0,8,52
785,0.44,0.57,2,131,3,0,1,0,8,52
